local_term,english_term,synonym_group,language,status
complains of abnormal pns synaptic transmission,Abnormal PNS Synaptic Transmission,abnormal_pns_synaptic_transmission,english,active
with abnormal pns synaptic transmission,Abnormal PNS Synaptic Transmission,abnormal_pns_synaptic_transmission,english,active
abnormal pns synaptic transmission present,Abnormal PNS Synaptic Transmission,abnormal_pns_synaptic_transmission,english,active
ongoing abnormal pns synaptic transmission,Abnormal PNS Synaptic Transmission,abnormal_pns_synaptic_transmission,english,active
persistent abnormal pns synaptic transmission,Abnormal PNS Synaptic Transmission,abnormal_pns_synaptic_transmission,english,active
i have abnormal podocyte morphology,Abnormal Podocyte Morphology,abnormal_podocyte_morphology,english,active
experiencing abnormal podocyte morphology,Abnormal Podocyte Morphology,abnormal_podocyte_morphology,english,active
suffering from abnormal podocyte morphology,Abnormal Podocyte Morphology,abnormal_podocyte_morphology,english,active
abnormal podocyte morphology symptom,Abnormal Podocyte Morphology,abnormal_podocyte_morphology,english,active
feeling of abnormal podocyte morphology,Abnormal Podocyte Morphology,abnormal_podocyte_morphology,english,active
complains of abnormal podocyte morphology,Abnormal Podocyte Morphology,abnormal_podocyte_morphology,english,active
with abnormal podocyte morphology,Abnormal Podocyte Morphology,abnormal_podocyte_morphology,english,active
abnormal podocyte morphology present,Abnormal Podocyte Morphology,abnormal_podocyte_morphology,english,active
ongoing abnormal podocyte morphology,Abnormal Podocyte Morphology,abnormal_podocyte_morphology,english,active
persistent abnormal podocyte morphology,Abnormal Podocyte Morphology,abnormal_podocyte_morphology,english,active
i have abnormal pons morphology,Abnormal Pons Morphology,abnormal_pons_morphology,english,active
experiencing abnormal pons morphology,Abnormal Pons Morphology,abnormal_pons_morphology,english,active
suffering from abnormal pons morphology,Abnormal Pons Morphology,abnormal_pons_morphology,english,active
abnormal pons morphology symptom,Abnormal Pons Morphology,abnormal_pons_morphology,english,active
feeling of abnormal pons morphology,Abnormal Pons Morphology,abnormal_pons_morphology,english,active
complains of abnormal pons morphology,Abnormal Pons Morphology,abnormal_pons_morphology,english,active
with abnormal pons morphology,Abnormal Pons Morphology,abnormal_pons_morphology,english,active
abnormal pons morphology present,Abnormal Pons Morphology,abnormal_pons_morphology,english,active
ongoing abnormal pons morphology,Abnormal Pons Morphology,abnormal_pons_morphology,english,active
persistent abnormal pons morphology,Abnormal Pons Morphology,abnormal_pons_morphology,english,active
i have abnormal portal venous system morphology,Abnormal Portal Venous System Morphology,abnormal_portal_venous_system_morphology,english,active
experiencing abnormal portal venous system morphology,Abnormal Portal Venous System Morphology,abnormal_portal_venous_system_morphology,english,active
suffering from abnormal portal venous system morphology,Abnormal Portal Venous System Morphology,abnormal_portal_venous_system_morphology,english,active
abnormal portal venous system morphology symptom,Abnormal Portal Venous System Morphology,abnormal_portal_venous_system_morphology,english,active
feeling of abnormal portal venous system morphology,Abnormal Portal Venous System Morphology,abnormal_portal_venous_system_morphology,english,active
complains of abnormal portal venous system morphology,Abnormal Portal Venous System Morphology,abnormal_portal_venous_system_morphology,english,active
with abnormal portal venous system morphology,Abnormal Portal Venous System Morphology,abnormal_portal_venous_system_morphology,english,active
abnormal portal venous system morphology present,Abnormal Portal Venous System Morphology,abnormal_portal_venous_system_morphology,english,active
ongoing abnormal portal venous system morphology,Abnormal Portal Venous System Morphology,abnormal_portal_venous_system_morphology,english,active
persistent abnormal portal venous system morphology,Abnormal Portal Venous System Morphology,abnormal_portal_venous_system_morphology,english,active
i have abnormal position of hair whorl,Abnormal Position of Hair Whorl,abnormal_position_of_hair_whorl,english,active
experiencing abnormal position of hair whorl,Abnormal Position of Hair Whorl,abnormal_position_of_hair_whorl,english,active
suffering from abnormal position of hair whorl,Abnormal Position of Hair Whorl,abnormal_position_of_hair_whorl,english,active
abnormal position of hair whorl symptom,Abnormal Position of Hair Whorl,abnormal_position_of_hair_whorl,english,active
feeling of abnormal position of hair whorl,Abnormal Position of Hair Whorl,abnormal_position_of_hair_whorl,english,active
complains of abnormal position of hair whorl,Abnormal Position of Hair Whorl,abnormal_position_of_hair_whorl,english,active
with abnormal position of hair whorl,Abnormal Position of Hair Whorl,abnormal_position_of_hair_whorl,english,active
abnormal position of hair whorl present,Abnormal Position of Hair Whorl,abnormal_position_of_hair_whorl,english,active
ongoing abnormal position of hair whorl,Abnormal Position of Hair Whorl,abnormal_position_of_hair_whorl,english,active
persistent abnormal position of hair whorl,Abnormal Position of Hair Whorl,abnormal_position_of_hair_whorl,english,active
i have abnormal position of the lacrimal punctum,Abnormal Position of the Lacrimal Punctum,abnormal_position_of_the_lacrimal_punctum,english,active
experiencing abnormal position of the lacrimal punctum,Abnormal Position of the Lacrimal Punctum,abnormal_position_of_the_lacrimal_punctum,english,active
suffering from abnormal position of the lacrimal punctum,Abnormal Position of the Lacrimal Punctum,abnormal_position_of_the_lacrimal_punctum,english,active
abnormal position of the lacrimal punctum symptom,Abnormal Position of the Lacrimal Punctum,abnormal_position_of_the_lacrimal_punctum,english,active
feeling of abnormal position of the lacrimal punctum,Abnormal Position of the Lacrimal Punctum,abnormal_position_of_the_lacrimal_punctum,english,active
complains of abnormal position of the lacrimal punctum,Abnormal Position of the Lacrimal Punctum,abnormal_position_of_the_lacrimal_punctum,english,active
with abnormal position of the lacrimal punctum,Abnormal Position of the Lacrimal Punctum,abnormal_position_of_the_lacrimal_punctum,english,active
abnormal position of the lacrimal punctum present,Abnormal Position of the Lacrimal Punctum,abnormal_position_of_the_lacrimal_punctum,english,active
ongoing abnormal position of the lacrimal punctum,Abnormal Position of the Lacrimal Punctum,abnormal_position_of_the_lacrimal_punctum,english,active
persistent abnormal position of the lacrimal punctum,Abnormal Position of the Lacrimal Punctum,abnormal_position_of_the_lacrimal_punctum,english,active
i have abnormal posterior circulating artery morphology,Abnormal Posterior Circulating Artery Morphology,abnormal_posterior_circulating_artery_morphology,english,active
experiencing abnormal posterior circulating artery morphology,Abnormal Posterior Circulating Artery Morphology,abnormal_posterior_circulating_artery_morphology,english,active
suffering from abnormal posterior circulating artery morphology,Abnormal Posterior Circulating Artery Morphology,abnormal_posterior_circulating_artery_morphology,english,active
abnormal posterior circulating artery morphology symptom,Abnormal Posterior Circulating Artery Morphology,abnormal_posterior_circulating_artery_morphology,english,active
feeling of abnormal posterior circulating artery morphology,Abnormal Posterior Circulating Artery Morphology,abnormal_posterior_circulating_artery_morphology,english,active
complains of abnormal posterior circulating artery morphology,Abnormal Posterior Circulating Artery Morphology,abnormal_posterior_circulating_artery_morphology,english,active
with abnormal posterior circulating artery morphology,Abnormal Posterior Circulating Artery Morphology,abnormal_posterior_circulating_artery_morphology,english,active
abnormal posterior circulating artery morphology present,Abnormal Posterior Circulating Artery Morphology,abnormal_posterior_circulating_artery_morphology,english,active
ongoing abnormal posterior circulating artery morphology,Abnormal Posterior Circulating Artery Morphology,abnormal_posterior_circulating_artery_morphology,english,active
persistent abnormal posterior circulating artery morphology,Abnormal Posterior Circulating Artery Morphology,abnormal_posterior_circulating_artery_morphology,english,active
i have abnormal posterior cranial fossa morphology,Abnormal Posterior Cranial Fossa Morphology,abnormal_posterior_cranial_fossa_morphology,english,active
experiencing abnormal posterior cranial fossa morphology,Abnormal Posterior Cranial Fossa Morphology,abnormal_posterior_cranial_fossa_morphology,english,active
suffering from abnormal posterior cranial fossa morphology,Abnormal Posterior Cranial Fossa Morphology,abnormal_posterior_cranial_fossa_morphology,english,active
abnormal posterior cranial fossa morphology symptom,Abnormal Posterior Cranial Fossa Morphology,abnormal_posterior_cranial_fossa_morphology,english,active
feeling of abnormal posterior cranial fossa morphology,Abnormal Posterior Cranial Fossa Morphology,abnormal_posterior_cranial_fossa_morphology,english,active
complains of abnormal posterior cranial fossa morphology,Abnormal Posterior Cranial Fossa Morphology,abnormal_posterior_cranial_fossa_morphology,english,active
with abnormal posterior cranial fossa morphology,Abnormal Posterior Cranial Fossa Morphology,abnormal_posterior_cranial_fossa_morphology,english,active
abnormal posterior cranial fossa morphology present,Abnormal Posterior Cranial Fossa Morphology,abnormal_posterior_cranial_fossa_morphology,english,active
ongoing abnormal posterior cranial fossa morphology,Abnormal Posterior Cranial Fossa Morphology,abnormal_posterior_cranial_fossa_morphology,english,active
persistent abnormal posterior cranial fossa morphology,Abnormal Posterior Cranial Fossa Morphology,abnormal_posterior_cranial_fossa_morphology,english,active
i have abnormal posterior eye segment morphology,Abnormal Posterior Eye Segment Morphology,abnormal_posterior_eye_segment_morphology,english,active
experiencing abnormal posterior eye segment morphology,Abnormal Posterior Eye Segment Morphology,abnormal_posterior_eye_segment_morphology,english,active
suffering from abnormal posterior eye segment morphology,Abnormal Posterior Eye Segment Morphology,abnormal_posterior_eye_segment_morphology,english,active
abnormal posterior eye segment morphology symptom,Abnormal Posterior Eye Segment Morphology,abnormal_posterior_eye_segment_morphology,english,active
feeling of abnormal posterior eye segment morphology,Abnormal Posterior Eye Segment Morphology,abnormal_posterior_eye_segment_morphology,english,active
complains of abnormal posterior eye segment morphology,Abnormal Posterior Eye Segment Morphology,abnormal_posterior_eye_segment_morphology,english,active
with abnormal posterior eye segment morphology,Abnormal Posterior Eye Segment Morphology,abnormal_posterior_eye_segment_morphology,english,active
abnormal posterior eye segment morphology present,Abnormal Posterior Eye Segment Morphology,abnormal_posterior_eye_segment_morphology,english,active
ongoing abnormal posterior eye segment morphology,Abnormal Posterior Eye Segment Morphology,abnormal_posterior_eye_segment_morphology,english,active
persistent abnormal posterior eye segment morphology,Abnormal Posterior Eye Segment Morphology,abnormal_posterior_eye_segment_morphology,english,active
i have abnormal posterior periventricular white matter morphology,Abnormal Posterior Periventricular White Matter Morphology,abnormal_posterior_periventricular_white_matter_morphology,english,active
experiencing abnormal posterior periventricular white matter morphology,Abnormal Posterior Periventricular White Matter Morphology,abnormal_posterior_periventricular_white_matter_morphology,english,active
suffering from abnormal posterior periventricular white matter morphology,Abnormal Posterior Periventricular White Matter Morphology,abnormal_posterior_periventricular_white_matter_morphology,english,active
abnormal posterior periventricular white matter morphology symptom,Abnormal Posterior Periventricular White Matter Morphology,abnormal_posterior_periventricular_white_matter_morphology,english,active
feeling of abnormal posterior periventricular white matter morphology,Abnormal Posterior Periventricular White Matter Morphology,abnormal_posterior_periventricular_white_matter_morphology,english,active
complains of abnormal posterior periventricular white matter morphology,Abnormal Posterior Periventricular White Matter Morphology,abnormal_posterior_periventricular_white_matter_morphology,english,active
with abnormal posterior periventricular white matter morphology,Abnormal Posterior Periventricular White Matter Morphology,abnormal_posterior_periventricular_white_matter_morphology,english,active
abnormal posterior periventricular white matter morphology present,Abnormal Posterior Periventricular White Matter Morphology,abnormal_posterior_periventricular_white_matter_morphology,english,active
ongoing abnormal posterior periventricular white matter morphology,Abnormal Posterior Periventricular White Matter Morphology,abnormal_posterior_periventricular_white_matter_morphology,english,active
persistent abnormal posterior periventricular white matter morphology,Abnormal Posterior Periventricular White Matter Morphology,abnormal_posterior_periventricular_white_matter_morphology,english,active
i have abnormal posterior pituitary morphogenesis,Abnormal Posterior Pituitary Morphogenesis,abnormal_posterior_pituitary_morphogenesis,english,active
experiencing abnormal posterior pituitary morphogenesis,Abnormal Posterior Pituitary Morphogenesis,abnormal_posterior_pituitary_morphogenesis,english,active
suffering from abnormal posterior pituitary morphogenesis,Abnormal Posterior Pituitary Morphogenesis,abnormal_posterior_pituitary_morphogenesis,english,active
abnormal posterior pituitary morphogenesis symptom,Abnormal Posterior Pituitary Morphogenesis,abnormal_posterior_pituitary_morphogenesis,english,active
feeling of abnormal posterior pituitary morphogenesis,Abnormal Posterior Pituitary Morphogenesis,abnormal_posterior_pituitary_morphogenesis,english,active
complains of abnormal posterior pituitary morphogenesis,Abnormal Posterior Pituitary Morphogenesis,abnormal_posterior_pituitary_morphogenesis,english,active
with abnormal posterior pituitary morphogenesis,Abnormal Posterior Pituitary Morphogenesis,abnormal_posterior_pituitary_morphogenesis,english,active
abnormal posterior pituitary morphogenesis present,Abnormal Posterior Pituitary Morphogenesis,abnormal_posterior_pituitary_morphogenesis,english,active
ongoing abnormal posterior pituitary morphogenesis,Abnormal Posterior Pituitary Morphogenesis,abnormal_posterior_pituitary_morphogenesis,english,active
persistent abnormal posterior pituitary morphogenesis,Abnormal Posterior Pituitary Morphogenesis,abnormal_posterior_pituitary_morphogenesis,english,active
i have abnormal posterior segment imaging,Abnormal Posterior Segment Imaging,abnormal_posterior_segment_imaging,english,active
experiencing abnormal posterior segment imaging,Abnormal Posterior Segment Imaging,abnormal_posterior_segment_imaging,english,active
suffering from abnormal posterior segment imaging,Abnormal Posterior Segment Imaging,abnormal_posterior_segment_imaging,english,active
abnormal posterior segment imaging symptom,Abnormal Posterior Segment Imaging,abnormal_posterior_segment_imaging,english,active
feeling of abnormal posterior segment imaging,Abnormal Posterior Segment Imaging,abnormal_posterior_segment_imaging,english,active
complains of abnormal posterior segment imaging,Abnormal Posterior Segment Imaging,abnormal_posterior_segment_imaging,english,active
with abnormal posterior segment imaging,Abnormal Posterior Segment Imaging,abnormal_posterior_segment_imaging,english,active
abnormal posterior segment imaging present,Abnormal Posterior Segment Imaging,abnormal_posterior_segment_imaging,english,active
ongoing abnormal posterior segment imaging,Abnormal Posterior Segment Imaging,abnormal_posterior_segment_imaging,english,active
persistent abnormal posterior segment imaging,Abnormal Posterior Segment Imaging,abnormal_posterior_segment_imaging,english,active
i have abnormal posterior semicircular canal morphology,Abnormal Posterior Semicircular Canal Morphology,abnormal_posterior_semicircular_canal_morphology,english,active
experiencing abnormal posterior semicircular canal morphology,Abnormal Posterior Semicircular Canal Morphology,abnormal_posterior_semicircular_canal_morphology,english,active
suffering from abnormal posterior semicircular canal morphology,Abnormal Posterior Semicircular Canal Morphology,abnormal_posterior_semicircular_canal_morphology,english,active
abnormal posterior semicircular canal morphology symptom,Abnormal Posterior Semicircular Canal Morphology,abnormal_posterior_semicircular_canal_morphology,english,active
feeling of abnormal posterior semicircular canal morphology,Abnormal Posterior Semicircular Canal Morphology,abnormal_posterior_semicircular_canal_morphology,english,active
complains of abnormal posterior semicircular canal morphology,Abnormal Posterior Semicircular Canal Morphology,abnormal_posterior_semicircular_canal_morphology,english,active
with abnormal posterior semicircular canal morphology,Abnormal Posterior Semicircular Canal Morphology,abnormal_posterior_semicircular_canal_morphology,english,active
abnormal posterior semicircular canal morphology present,Abnormal Posterior Semicircular Canal Morphology,abnormal_posterior_semicircular_canal_morphology,english,active
ongoing abnormal posterior semicircular canal morphology,Abnormal Posterior Semicircular Canal Morphology,abnormal_posterior_semicircular_canal_morphology,english,active
persistent abnormal posterior semicircular canal morphology,Abnormal Posterior Semicircular Canal Morphology,abnormal_posterior_semicircular_canal_morphology,english,active
i have abnormal postural reaction,Abnormal Postural Reaction,abnormal_postural_reaction,english,active
experiencing abnormal postural reaction,Abnormal Postural Reaction,abnormal_postural_reaction,english,active
suffering from abnormal postural reaction,Abnormal Postural Reaction,abnormal_postural_reaction,english,active
abnormal postural reaction symptom,Abnormal Postural Reaction,abnormal_postural_reaction,english,active
feeling of abnormal postural reaction,Abnormal Postural Reaction,abnormal_postural_reaction,english,active
complains of abnormal postural reaction,Abnormal Postural Reaction,abnormal_postural_reaction,english,active
with abnormal postural reaction,Abnormal Postural Reaction,abnormal_postural_reaction,english,active
abnormal postural reaction present,Abnormal Postural Reaction,abnormal_postural_reaction,english,active
ongoing abnormal postural reaction,Abnormal Postural Reaction,abnormal_postural_reaction,english,active
persistent abnormal postural reaction,Abnormal Postural Reaction,abnormal_postural_reaction,english,active
i have abnormal postural reflex,Abnormal Postural Reflex,abnormal_postural_reflex,english,active
experiencing abnormal postural reflex,Abnormal Postural Reflex,abnormal_postural_reflex,english,active
suffering from abnormal postural reflex,Abnormal Postural Reflex,abnormal_postural_reflex,english,active
abnormal postural reflex symptom,Abnormal Postural Reflex,abnormal_postural_reflex,english,active
feeling of abnormal postural reflex,Abnormal Postural Reflex,abnormal_postural_reflex,english,active
complains of abnormal postural reflex,Abnormal Postural Reflex,abnormal_postural_reflex,english,active
with abnormal postural reflex,Abnormal Postural Reflex,abnormal_postural_reflex,english,active
abnormal postural reflex present,Abnormal Postural Reflex,abnormal_postural_reflex,english,active
ongoing abnormal postural reflex,Abnormal Postural Reflex,abnormal_postural_reflex,english,active
persistent abnormal postural reflex,Abnormal Postural Reflex,abnormal_postural_reflex,english,active
i have abnormal posture,Abnormal Posture,abnormal_posture,english,active
experiencing abnormal posture,Abnormal Posture,abnormal_posture,english,active
suffering from abnormal posture,Abnormal Posture,abnormal_posture,english,active
abnormal posture symptom,Abnormal Posture,abnormal_posture,english,active
feeling of abnormal posture,Abnormal Posture,abnormal_posture,english,active
complains of abnormal posture,Abnormal Posture,abnormal_posture,english,active
with abnormal posture,Abnormal Posture,abnormal_posture,english,active
abnormal posture present,Abnormal Posture,abnormal_posture,english,active
ongoing abnormal posture,Abnormal Posture,abnormal_posture,english,active
persistent abnormal posture,Abnormal Posture,abnormal_posture,english,active
i have abnormal posturing,Abnormal Posturing,abnormal_posturing,english,active
experiencing abnormal posturing,Abnormal Posturing,abnormal_posturing,english,active
suffering from abnormal posturing,Abnormal Posturing,abnormal_posturing,english,active
abnormal posturing symptom,Abnormal Posturing,abnormal_posturing,english,active
feeling of abnormal posturing,Abnormal Posturing,abnormal_posturing,english,active
complains of abnormal posturing,Abnormal Posturing,abnormal_posturing,english,active
with abnormal posturing,Abnormal Posturing,abnormal_posturing,english,active
abnormal posturing present,Abnormal Posturing,abnormal_posturing,english,active
ongoing abnormal posturing,Abnormal Posturing,abnormal_posturing,english,active
persistent abnormal posturing,Abnormal Posturing,abnormal_posturing,english,active
i have abnormal pr interval,Abnormal PR Interval,abnormal_pr_interval,english,active
experiencing abnormal pr interval,Abnormal PR Interval,abnormal_pr_interval,english,active
suffering from abnormal pr interval,Abnormal PR Interval,abnormal_pr_interval,english,active
abnormal pr interval symptom,Abnormal PR Interval,abnormal_pr_interval,english,active
feeling of abnormal pr interval,Abnormal PR Interval,abnormal_pr_interval,english,active
complains of abnormal pr interval,Abnormal PR Interval,abnormal_pr_interval,english,active
with abnormal pr interval,Abnormal PR Interval,abnormal_pr_interval,english,active
abnormal pr interval present,Abnormal PR Interval,abnormal_pr_interval,english,active
ongoing abnormal pr interval,Abnormal PR Interval,abnormal_pr_interval,english,active
persistent abnormal pr interval,Abnormal PR Interval,abnormal_pr_interval,english,active
i have abnormal pr segment,Abnormal PR Segment,abnormal_pr_segment,english,active
experiencing abnormal pr segment,Abnormal PR Segment,abnormal_pr_segment,english,active
suffering from abnormal pr segment,Abnormal PR Segment,abnormal_pr_segment,english,active
abnormal pr segment symptom,Abnormal PR Segment,abnormal_pr_segment,english,active
feeling of abnormal pr segment,Abnormal PR Segment,abnormal_pr_segment,english,active
complains of abnormal pr segment,Abnormal PR Segment,abnormal_pr_segment,english,active
with abnormal pr segment,Abnormal PR Segment,abnormal_pr_segment,english,active
abnormal pr segment present,Abnormal PR Segment,abnormal_pr_segment,english,active
ongoing abnormal pr segment,Abnormal PR Segment,abnormal_pr_segment,english,active
persistent abnormal pr segment,Abnormal PR Segment,abnormal_pr_segment,english,active
i have abnormal preimplantation embryonic development,Abnormal Preimplantation Embryonic Development,abnormal_preimplantation_embryonic_development,english,active
experiencing abnormal preimplantation embryonic development,Abnormal Preimplantation Embryonic Development,abnormal_preimplantation_embryonic_development,english,active
suffering from abnormal preimplantation embryonic development,Abnormal Preimplantation Embryonic Development,abnormal_preimplantation_embryonic_development,english,active
abnormal preimplantation embryonic development symptom,Abnormal Preimplantation Embryonic Development,abnormal_preimplantation_embryonic_development,english,active
feeling of abnormal preimplantation embryonic development,Abnormal Preimplantation Embryonic Development,abnormal_preimplantation_embryonic_development,english,active
complains of abnormal preimplantation embryonic development,Abnormal Preimplantation Embryonic Development,abnormal_preimplantation_embryonic_development,english,active
with abnormal preimplantation embryonic development,Abnormal Preimplantation Embryonic Development,abnormal_preimplantation_embryonic_development,english,active
abnormal preimplantation embryonic development present,Abnormal Preimplantation Embryonic Development,abnormal_preimplantation_embryonic_development,english,active
ongoing abnormal preimplantation embryonic development,Abnormal Preimplantation Embryonic Development,abnormal_preimplantation_embryonic_development,english,active
persistent abnormal preimplantation embryonic development,Abnormal Preimplantation Embryonic Development,abnormal_preimplantation_embryonic_development,english,active
i have abnormal premolar morphology,Abnormal Premolar Morphology,abnormal_premolar_morphology,english,active
experiencing abnormal premolar morphology,Abnormal Premolar Morphology,abnormal_premolar_morphology,english,active
suffering from abnormal premolar morphology,Abnormal Premolar Morphology,abnormal_premolar_morphology,english,active
abnormal premolar morphology symptom,Abnormal Premolar Morphology,abnormal_premolar_morphology,english,active
feeling of abnormal premolar morphology,Abnormal Premolar Morphology,abnormal_premolar_morphology,english,active
complains of abnormal premolar morphology,Abnormal Premolar Morphology,abnormal_premolar_morphology,english,active
with abnormal premolar morphology,Abnormal Premolar Morphology,abnormal_premolar_morphology,english,active
abnormal premolar morphology present,Abnormal Premolar Morphology,abnormal_premolar_morphology,english,active
ongoing abnormal premolar morphology,Abnormal Premolar Morphology,abnormal_premolar_morphology,english,active
persistent abnormal premolar morphology,Abnormal Premolar Morphology,abnormal_premolar_morphology,english,active
i have abnormal preoccupation,Abnormal Preoccupation,abnormal_preoccupation,english,active
experiencing abnormal preoccupation,Abnormal Preoccupation,abnormal_preoccupation,english,active
suffering from abnormal preoccupation,Abnormal Preoccupation,abnormal_preoccupation,english,active
abnormal preoccupation symptom,Abnormal Preoccupation,abnormal_preoccupation,english,active
feeling of abnormal preoccupation,Abnormal Preoccupation,abnormal_preoccupation,english,active
complains of abnormal preoccupation,Abnormal Preoccupation,abnormal_preoccupation,english,active
with abnormal preoccupation,Abnormal Preoccupation,abnormal_preoccupation,english,active
abnormal preoccupation present,Abnormal Preoccupation,abnormal_preoccupation,english,active
ongoing abnormal preoccupation,Abnormal Preoccupation,abnormal_preoccupation,english,active
persistent abnormal preoccupation,Abnormal Preoccupation,abnormal_preoccupation,english,active
i have abnormal preputium morphology,Abnormal Preputium Morphology,abnormal_preputium_morphology,english,active
experiencing abnormal preputium morphology,Abnormal Preputium Morphology,abnormal_preputium_morphology,english,active
suffering from abnormal preputium morphology,Abnormal Preputium Morphology,abnormal_preputium_morphology,english,active
abnormal preputium morphology symptom,Abnormal Preputium Morphology,abnormal_preputium_morphology,english,active
feeling of abnormal preputium morphology,Abnormal Preputium Morphology,abnormal_preputium_morphology,english,active
complains of abnormal preputium morphology,Abnormal Preputium Morphology,abnormal_preputium_morphology,english,active
with abnormal preputium morphology,Abnormal Preputium Morphology,abnormal_preputium_morphology,english,active
abnormal preputium morphology present,Abnormal Preputium Morphology,abnormal_preputium_morphology,english,active
ongoing abnormal preputium morphology,Abnormal Preputium Morphology,abnormal_preputium_morphology,english,active
persistent abnormal preputium morphology,Abnormal Preputium Morphology,abnormal_preputium_morphology,english,active
i have abnormal presence of ultra-large von willebrand factor multimers,Abnormal Presence of Ultra-large Von Willebrand Factor Multimers,abnormal_presence_of_ultra_large_von_willebrand_factor_multi,english,active
experiencing abnormal presence of ultra-large von willebrand factor multimers,Abnormal Presence of Ultra-large Von Willebrand Factor Multimers,abnormal_presence_of_ultra_large_von_willebrand_factor_multi,english,active
suffering from abnormal presence of ultra-large von willebrand factor multimers,Abnormal Presence of Ultra-large Von Willebrand Factor Multimers,abnormal_presence_of_ultra_large_von_willebrand_factor_multi,english,active
abnormal presence of ultra-large von willebrand factor multimers symptom,Abnormal Presence of Ultra-large Von Willebrand Factor Multimers,abnormal_presence_of_ultra_large_von_willebrand_factor_multi,english,active
feeling of abnormal presence of ultra-large von willebrand factor multimers,Abnormal Presence of Ultra-large Von Willebrand Factor Multimers,abnormal_presence_of_ultra_large_von_willebrand_factor_multi,english,active
complains of abnormal presence of ultra-large von willebrand factor multimers,Abnormal Presence of Ultra-large Von Willebrand Factor Multimers,abnormal_presence_of_ultra_large_von_willebrand_factor_multi,english,active
with abnormal presence of ultra-large von willebrand factor multimers,Abnormal Presence of Ultra-large Von Willebrand Factor Multimers,abnormal_presence_of_ultra_large_von_willebrand_factor_multi,english,active
abnormal presence of ultra-large von willebrand factor multimers present,Abnormal Presence of Ultra-large Von Willebrand Factor Multimers,abnormal_presence_of_ultra_large_von_willebrand_factor_multi,english,active
ongoing abnormal presence of ultra-large von willebrand factor multimers,Abnormal Presence of Ultra-large Von Willebrand Factor Multimers,abnormal_presence_of_ultra_large_von_willebrand_factor_multi,english,active
persistent abnormal presence of ultra-large von willebrand factor multimers,Abnormal Presence of Ultra-large Von Willebrand Factor Multimers,abnormal_presence_of_ultra_large_von_willebrand_factor_multi,english,active
i have abnormal primary molar morphology,Abnormal Primary Molar Morphology,abnormal_primary_molar_morphology,english,active
experiencing abnormal primary molar morphology,Abnormal Primary Molar Morphology,abnormal_primary_molar_morphology,english,active
suffering from abnormal primary molar morphology,Abnormal Primary Molar Morphology,abnormal_primary_molar_morphology,english,active
abnormal primary molar morphology symptom,Abnormal Primary Molar Morphology,abnormal_primary_molar_morphology,english,active
feeling of abnormal primary molar morphology,Abnormal Primary Molar Morphology,abnormal_primary_molar_morphology,english,active
complains of abnormal primary molar morphology,Abnormal Primary Molar Morphology,abnormal_primary_molar_morphology,english,active
with abnormal primary molar morphology,Abnormal Primary Molar Morphology,abnormal_primary_molar_morphology,english,active
abnormal primary molar morphology present,Abnormal Primary Molar Morphology,abnormal_primary_molar_morphology,english,active
ongoing abnormal primary molar morphology,Abnormal Primary Molar Morphology,abnormal_primary_molar_morphology,english,active
persistent abnormal primary molar morphology,Abnormal Primary Molar Morphology,abnormal_primary_molar_morphology,english,active
i have abnormal prints on feet,Abnormal Prints On Feet,abnormal_prints_on_feet,english,active
experiencing abnormal prints on feet,Abnormal Prints On Feet,abnormal_prints_on_feet,english,active
suffering from abnormal prints on feet,Abnormal Prints On Feet,abnormal_prints_on_feet,english,active
abnormal prints on feet symptom,Abnormal Prints On Feet,abnormal_prints_on_feet,english,active
feeling of abnormal prints on feet,Abnormal Prints On Feet,abnormal_prints_on_feet,english,active
complains of abnormal prints on feet,Abnormal Prints On Feet,abnormal_prints_on_feet,english,active
with abnormal prints on feet,Abnormal Prints On Feet,abnormal_prints_on_feet,english,active
abnormal prints on feet present,Abnormal Prints On Feet,abnormal_prints_on_feet,english,active
ongoing abnormal prints on feet,Abnormal Prints On Feet,abnormal_prints_on_feet,english,active
persistent abnormal prints on feet,Abnormal Prints On Feet,abnormal_prints_on_feet,english,active
i have abnormal probe-to-bone test,Abnormal Probe-to-bone Test,abnormal_probe_to_bone_test,english,active
experiencing abnormal probe-to-bone test,Abnormal Probe-to-bone Test,abnormal_probe_to_bone_test,english,active
suffering from abnormal probe-to-bone test,Abnormal Probe-to-bone Test,abnormal_probe_to_bone_test,english,active
abnormal probe-to-bone test symptom,Abnormal Probe-to-bone Test,abnormal_probe_to_bone_test,english,active
feeling of abnormal probe-to-bone test,Abnormal Probe-to-bone Test,abnormal_probe_to_bone_test,english,active
complains of abnormal probe-to-bone test,Abnormal Probe-to-bone Test,abnormal_probe_to_bone_test,english,active
with abnormal probe-to-bone test,Abnormal Probe-to-bone Test,abnormal_probe_to_bone_test,english,active
abnormal probe-to-bone test present,Abnormal Probe-to-bone Test,abnormal_probe_to_bone_test,english,active
ongoing abnormal probe-to-bone test,Abnormal Probe-to-bone Test,abnormal_probe_to_bone_test,english,active
persistent abnormal probe-to-bone test,Abnormal Probe-to-bone Test,abnormal_probe_to_bone_test,english,active
i have abnormal proerythroblast morphology,Abnormal Proerythroblast Morphology,abnormal_proerythroblast_morphology,english,active
experiencing abnormal proerythroblast morphology,Abnormal Proerythroblast Morphology,abnormal_proerythroblast_morphology,english,active
