hiligaynon_term,alternative_spellings,english_translation,medical_term,category,severity_level,confidence_keywords
ginasakit ulo,sakit ulo;masakit ulo;ulo masakit;sakit sang ulo;labad ulo;labad ang ulo;aking ulo;masakit gid akon ulo;sakit sa ulo;ginasakit-ulo,headache,cephalalgia,Neurological,Medium,head;pain;migraine;cephalgia
labad ang ulo,sakit ulo;masakit ulo;ulo masakit;sakit sang ulo;labad ulo;ginasakit ulo;aking ulo;masakit gid akon ulo;sakit sa ulo;may labad ang ulo;naglabad ang ulo;labad-ang-ulo;ginlabad ang ulo,headache,cephalalgia,Neurological,Medium,head;pain;migraine;cephalgia
labad ulo,sakit ulo;masakit ulo;ulo masakit;sakit sang ulo;labad ang ulo;ginasakit ulo;aking ulo;masakit gid akon ulo;sakit sa ulo;ginlabad ulo;labad-ulo;naglabad ulo;may labad ulo,headache,cephalalgia,Neurological,Medium,head;pain;migraine;cephalgia
masakit gid akon ulo,sakit ulo;masakit ulo;ulo masakit;sakit sang ulo;labad ulo;labad ang ulo;ginasakit ulo;aking ulo;sakit sa ulo;may masakit gid akon ulo;ginmasakit gid akon ulo;masakit-gid-akon-ulo;nagmasakit gid akon ulo,headache,cephalalgia,Neurological,Medium,head;pain;migraine;cephalgia
masakit ulo,sakit ulo;ulo masakit;sakit sang ulo;labad ulo;labad ang ulo;ginasakit ulo;aking ulo;masakit gid akon ulo;sakit sa ulo;ginmasakit ulo;may masakit ulo;masakit-ulo;nagmasakit ulo,headache,cephalalgia,Neurological,Medium,head;pain;migraine;cephalgia
sakit sa ulo,sakit ulo;masakit ulo;ulo masakit;sakit sang ulo;labad ulo;labad ang ulo;ginasakit ulo;aking ulo;masakit gid akon ulo;sakit-sa-ulo;may sakit sa ulo;nagsakit sa ulo;ginsakit sa ulo,headache,cephalalgia,Neurological,Medium,head;pain;migraine;cephalgia
sakit sang ulo,sakit ulo;masakit ulo;ulo masakit;labad ulo;labad ang ulo;ginasakit ulo;aking ulo;masakit gid akon ulo;sakit sa ulo;nagsakit sang ulo;may sakit sang ulo;ginsakit sang ulo;sakit-sang-ulo,headache,cephalalgia,Neurological,Medium,head;pain;migraine;cephalgia
sakit ulo,masakit ulo;ulo masakit;sakit sang ulo;labad ulo;labad ang ulo;ginasakit ulo;aking ulo;masakit gid akon ulo;sakit sa ulo;nagsakit ulo;sakit-ulo;ginsakit ulo;may sakit ulo,headache,cephalalgia,Neurological,Medium,head;pain;migraine;cephalgia
ulo masakit,sakit ulo;masakit ulo;sakit sang ulo;labad ulo;labad ang ulo;ginasakit ulo;aking ulo;masakit gid akon ulo;sakit sa ulo;nagulo masakit;ulo-masakit;may ulo masakit;ginulo masakit,headache,cephalalgia,Neurological,Medium,head;pain;migraine;cephalgia
ginahina tiil,nagaluya tiil;weak leg;luya tiil;ginahina-tiil,leg weakness,lower limb weakness,Neurological,High,leg;weak;stroke
luya tiil,nagaluya tiil;weak leg;ginahina tiil;may luya tiil;ginluya tiil;luya-tiil;nagluya tiil,leg weakness,lower limb weakness,Neurological,High,leg;weak;stroke
nagaluya tiil,weak leg;luya tiil;ginahina tiil;nagaluya-tiil,leg weakness,lower limb weakness,Neurological,High,leg;weak;stroke
weak leg,nagaluya tiil;luya tiil;ginahina tiil;weak-leg,leg weakness,lower limb weakness,Neurological,High,leg;weak;stroke
kalimot,nagadula memorya;memory loss;ginkalimot;nagkalimot;may kalimot,memory loss,amnesia,Neurological,Medium,memory;cognitive;dementia
memory loss,nagadula memorya;kalimot;memory-loss,memory loss,amnesia,Neurological,Medium,memory;cognitive;dementia
nagadula memorya,memory loss;kalimot;nagadula-memorya,memory loss,amnesia,Neurological,Medium,memory;cognitive;dementia
labad ulo sing grabe,nagapamigraine;migraine;labad-ulo-sing-grabe;may labad ulo sing grabe;naglabad ulo sing grabe;ginlabad ulo sing grabe,migraine,migraine,Neurological,Medium,migraine;headache;severe
migraine,nagapamigraine;labad ulo sing grabe,migraine,migraine,Neurological,Medium,migraine;headache;severe
nagapamigraine,migraine;labad ulo sing grabe,migraine,migraine,Neurological,Medium,migraine;headache;severe
ginamanhid,pamamanhid;ginapamamanhid;manhid;nagamanhid;walay pagbati,numbness,paresthesia,Neurological,Medium,tingling;nerve;loss;sensation
ginapamamanhid,pamamanhid;manhid;ginamanhid;nagamanhid;walay pagbati,numbness,paresthesia,Neurological,Medium,tingling;nerve;loss;sensation
manhid,pamamanhid;ginapamamanhid;ginamanhid;nagamanhid;walay pagbati,numbness,paresthesia,Neurological,Medium,tingling;nerve;loss;sensation
nagamanhid,pamamanhid;ginapamamanhid;manhid;ginamanhid;walay pagbati,numbness,paresthesia,Neurological,Medium,tingling;nerve;loss;sensation
pamamanhid,ginapamamanhid;manhid;ginamanhid;nagamanhid;walay pagbati,numbness,paresthesia,Neurological,Medium,tingling;nerve;loss;sensation
walay pagbati,pamamanhid;ginapamamanhid;manhid;ginamanhid;nagamanhid;walay-pagbati,numbness,paresthesia,Neurological,Medium,tingling;nerve;loss;sensation
loss sensation,nagadula panimuot;loss-sensation,sensory loss,sensory loss,Neurological,High,numb;nerve;sensation
nagadula panimuot,loss sensation;nagadula-panimuot,sensory loss,sensory loss,Neurological,High,numb;nerve;sensation
ginakurog,nagakurog;kurog;ginatay-og;nagatay-og;nagauyog,tremor,tremor,Neurological,Medium,shaking;trembling;parkinson
ginatay-og,nagakurog;ginakurog;kurog;nagatay-og;nagauyog;ginatayog;ginatay og,tremor,tremor,Neurological,Medium,shaking;trembling;parkinson
kurog,nagakurog;ginakurog;ginatay-og;nagatay-og;nagauyog,tremor,tremor,Neurological,Medium,shaking;trembling;parkinson
nagakurog,ginakurog;kurog;ginatay-og;nagatay-og;nagauyog,tremor,tremor,Neurological,Medium,shaking;trembling;parkinson
nagatay-og,nagakurog;ginakurog;kurog;ginatay-og;nagauyog;nagatayog;nagatay og,tremor,tremor,Neurological,Medium,shaking;trembling;parkinson
nagauyog,nagakurog;ginakurog;kurog;ginatay-og;nagatay-og,tremor,tremor,Neurological,Medium,shaking;trembling;parkinson
nagatulin ulo,spinning head;vertigo;nagatulin-ulo,vertigo,vertigo,Neurological,Medium,vertigo;dizzy;inner ear
spinning head,nagatulin ulo;vertigo;spinning-head,vertigo,vertigo,Neurological,Medium,vertigo;dizzy;inner ear
vertigo,nagatulin ulo;spinning head,vertigo,vertigo,Neurological,Medium,vertigo;dizzy;inner ear
blurred vision neuro,nagadula panulok;blurred-vision-neuro,visual disturbance,visual disturbance,Neurological,Medium,vision;neuro;stroke
nagadula panulok,blurred vision neuro;nagadula-panulok,visual disturbance,visual disturbance,Neurological,Medium,vision;neuro;stroke
ginatulo sing dugo kag mata,ginatulo-sing-dugo-kag-mata,bleeding eye,ocular hemorrhage,Ophthalmology,High,blood;eye;trauma
blurred vision,malain panulok;malabo panulok;ginamalabo panulok;blurred-vision,blurred vision,blurred vision,Ophthalmology,Medium,vision;blur;eye
ginamalabo panulok,malain panulok;malabo panulok;blurred vision;ginamalabo-panulok,blurred vision,blurred vision,Ophthalmology,Medium,vision;blur;eye
malabo panulok,malain panulok;ginamalabo panulok;blurred vision;may malabo panulok;ginmalabo panulok;nagmalabo panulok;malabo-panulok,blurred vision,blurred vision,Ophthalmology,Medium,vision;blur;eye
malain panulok,malabo panulok;ginamalabo panulok;blurred vision;nagmalain panulok;may malain panulok;ginmalain panulok;malain-panulok,blurred vision,blurred vision,Ophthalmology,Medium,vision;blur;eye
color vision loss,nagadula kulay panulok;color-vision-loss,color vision defect,color vision defect,Ophthalmology,Medium,vision;color;eye
nagadula kulay panulok,color vision loss;nagadula-kulay-panulok,color vision defect,color vision defect,Ophthalmology,Medium,vision;color;eye
ginakati mata,nagakati mata;katol sa mata;ginakati-mata,itchy eyes,ocular pruritus,Ophthalmology,Low,eye;itch;allergy
katol sa mata,nagakati mata;ginakati mata;ginkatol sa mata;nagkatol sa mata;katol-sa-mata;may katol sa mata,itchy eyes,ocular pruritus,Ophthalmology,Low,eye;itch;allergy
nagakati mata,ginakati mata;katol sa mata;nagakati-mata,itchy eyes,ocular pruritus,Ophthalmology,Low,eye;itch;allergy
itchy eyes,nagakati mata;katol mata;itchy-eyes,ocular itching,ocular pruritus,Ophthalmology,Low,eye;itch;allergy
katol mata,nagakati mata;itchy eyes;ginkatol mata;nagkatol mata;katol-mata;may katol mata,ocular itching,ocular pruritus,Ophthalmology,Low,eye;itch;allergy
hubag mata,nagapamulang mata;swollen eyes;ginhubag mata;naghubag mata;hubag-mata;may hubag mata,periorbital edema,periorbital edema,Ophthalmology,Medium,eye;swelling;allergy
nagapamulang mata,swollen eyes;hubag mata;nagapamulang-mata,periorbital edema,periorbital edema,Ophthalmology,Medium,eye;swelling;allergy
swollen eyes,nagapamulang mata;hubag mata;swollen-eyes,periorbital edema,periorbital edema,Ophthalmology,Medium,eye;swelling;allergy
flashing lights vision,nagakurog panulok;flashing-lights-vision,photopsia,photopsia,Ophthalmology,Medium,vision;flashes;retina
nagakurog panulok,flashing lights vision;nagakurog-panulok,photopsia,photopsia,Ophthalmology,Medium,vision;flashes;retina
ginapula mata,naga pula mata;nagapula mata;pamula mata;mapula mata;red eyes;ginapula-mata,red eyes,conjunctivitis,Ophthalmology,Low,eye;red;infection;allergy
mapula mata,naga pula mata;nagapula mata;pamula mata;ginapula mata;red eyes;mapula-mata;may mapula mata;ginmapula mata;nagmapula mata,red eyes,conjunctivitis,Ophthalmology,Low,eye;red;infection;allergy
naga pula mata,nagapula mata;pamula mata;ginapula mata;mapula mata;red eyes;naga-pula-mata,red eyes,conjunctivitis,Ophthalmology,Low,eye;red;infection;allergy
nagapula mata,naga pula mata;pamula mata;ginapula mata;mapula mata;red eyes;nagapula-mata,red eyes,conjunctivitis,Ophthalmology,Low,eye;red;infection;allergy
pamula mata,naga pula mata;nagapula mata;ginapula mata;mapula mata;red eyes;pamula-mata;nagpamula mata;ginpamula mata;may pamula mata,red eyes,conjunctivitis,Ophthalmology,Low,eye;red;infection;allergy
red eyes,naga pula mata;nagapula mata;pamula mata;ginapula mata;mapula mata;red-eyes,red eyes,conjunctivitis,Ophthalmology,Low,eye;red;infection;allergy
bloody eye,nagatulo dugo mata;bloody-eye,subconjunctival hemorrhage,subconjunctival hemorrhage,Ophthalmology,Medium,eye;blood;hemorrhage
nagatulo dugo mata,bloody eye;nagatulo-dugo-mata,subconjunctival hemorrhage,subconjunctival hemorrhage,Ophthalmology,Medium,eye;blood;hemorrhage
dugay magluha,nagatulo luha;watery eyes;dugay-magluha,watery eyes,epiphora,Ophthalmology,Low,eye;water;tear
nagatulo luha,watery eyes;dugay magluha;nagatulo-luha,watery eyes,epiphora,Ophthalmology,Low,eye;water;tear
watery eyes,nagatulo luha;dugay magluha;watery-eyes,watery eyes,epiphora,Ophthalmology,Low,eye;water;tear
itchy ear,nagakati dalunggan;itchy-ear,ear itching,pruritus aurium,Otology,Low,ear;itch;infection
nagakati dalunggan,itchy ear;nagakati-dalunggan,ear itching,pruritus aurium,Otology,Low,ear;itch;infection
ear pain,masakit dalunggan;sakit dalunggan;ginasakit dalunggan;ear-pain,ear pain,otalgia,Otology,Medium,ear;pain;infection
ginasakit dalunggan,masakit dalunggan;sakit dalunggan;ear pain;ginasakit-dalunggan,ear pain,otalgia,Otology,Medium,ear;pain;infection
masakit dalunggan,sakit dalunggan;ginasakit dalunggan;ear pain;masakit-dalunggan;may masakit dalunggan;nagmasakit dalunggan;ginmasakit dalunggan,ear pain,otalgia,Otology,Medium,ear;pain;infection
sakit dalunggan,masakit dalunggan;ginasakit dalunggan;ear pain;ginsakit dalunggan;nagsakit dalunggan;may sakit dalunggan;sakit-dalunggan,ear pain,otalgia,Otology,Medium,ear;pain;infection
nagapamulang dalunggan,swollen ear;nagapamulang-dalunggan,ear swelling,otitis externa,Otology,Medium,ear;swelling;infection
swollen ear,nagapamulang dalunggan;swollen-ear,ear swelling,otitis externa,Otology,Medium,ear;swelling;infection
bulag pandungog,nagadula pandungog;hearing loss;bulag-pandungog,hearing loss,hearing loss,Otology,Medium,hearing;deaf;ear
hearing loss,nagadula pandungog;bulag pandungog;hearing-loss,hearing loss,hearing loss,Otology,Medium,hearing;deaf;ear
nagadula pandungog,hearing loss;bulag pandungog;nagadula-pandungog,hearing loss,hearing loss,Otology,Medium,hearing;deaf;ear
ear discharge,nagatulo dalunggan;tulo sa dalunggan;ear-discharge,otorrhea,otorrhea,Otology,Medium,ear;discharge;infection
nagatulo dalunggan,ear discharge;tulo sa dalunggan;nagatulo-dalunggan,otorrhea,otorrhea,Otology,Medium,ear;discharge;infection
tulo sa dalunggan,nagatulo dalunggan;ear discharge;nagtulo sa dalunggan;tulo-sa-dalunggan;gintulo sa dalunggan;may tulo sa dalunggan,otorrhea,otorrhea,Otology,Medium,ear;discharge;infection
naga tingog dalunggan,nagatingog dalunggan;singog dalunggan;tinnitus;naga-tingog-dalunggan,ringing in ears,tinnitus,Otology,Low,ear;ringing;tinnitus
nagatingog dalunggan,naga tingog dalunggan;singog dalunggan;tinnitus;nagatingog-dalunggan,ringing in ears,tinnitus,Otology,Low,ear;ringing;tinnitus
singog dalunggan,naga tingog dalunggan;nagatingog dalunggan;tinnitus;may singog dalunggan;nagsingog dalunggan;singog-dalunggan;ginsingog dalunggan,ringing in ears,tinnitus,Otology,Low,ear;ringing;tinnitus
tinnitus,naga tingog dalunggan;nagatingog dalunggan;singog dalunggan,ringing in ears,tinnitus,Otology,Low,ear;ringing;tinnitus
balance problem ear,nagadula balanse;balance-problem-ear,vestibular disorder,vestibular disorder,Otology,Medium,balance;dizzy;ear
nagadula balanse,balance problem ear;nagadula-balanse,vestibular disorder,vestibular disorder,Otology,Medium,balance;dizzy;ear
ginatulo sing dugo kag bata,ginatulo-sing-dugo-kag-bata,child bleeding,pediatric hemorrhage,Pediatric,Critical,blood;child;emergency
ginatulo sing dugo kag circumcision bata,ginatulo-sing-dugo-kag-circumcision-bata,child circumcision bleeding,pediatric bleeding,Pediatric,High,blood;child;surgery
ginatulo sing dugo kag circumcision,ginatulo-sing-dugo-kag-circumcision,circumcision bleeding,post-circumcision bleeding,Pediatric,Medium,blood;child;surgery
ginatulo sing dugo kag neonatal injury,ginatulo-sing-dugo-kag-neonatal-injury,neonatal injury bleeding,neonatal trauma,Pediatric,Critical,blood;newborn;trauma
ginatulo sing dugo kag newborn,ginatulo-sing-dugo-kag-newborn,newborn bleeding,neonatal hemorrhage,Pediatric,Critical,blood;newborn;emergency
child poor appetite,nagadula gana kaon bata;child-poor-appetite,pediatric anorexia,anorexia,Pediatric,Medium,child;appetite;eat
nagadula gana kaon bata,child poor appetite;nagadula-gana-kaon-bata,pediatric anorexia,anorexia,Pediatric,Medium,child;appetite;eat
cough child,ubo bata;ginauubo ang bata;cough-child,pediatric cough,cough,Pediatric,Low,child;cough;respiratory
ginauubo ang bata,ubo bata;cough child;ginauubo-ang-bata,pediatric cough,cough,Pediatric,Low,child;cough;respiratory
ubo bata,cough child;ginauubo ang bata;nagubo bata;may ubo bata;ubo-bata;ginubo bata,pediatric cough,cough,Pediatric,Low,child;cough;respiratory
diarrhea child,kalibanga bata;ginakalibanga ang bata;diarrhea-child,pediatric diarrhea,diarrhea,Pediatric,Medium,child;diarrhea;dehydration
ginakalibanga ang bata,kalibanga bata;diarrhea child;ginakalibanga-ang-bata,pediatric diarrhea,diarrhea,Pediatric,Medium,child;diarrhea;dehydration
kalibanga bata,diarrhea child;ginakalibanga ang bata;kalibanga-bata;ginkalibanga bata;may kalibanga bata;nagkalibanga bata,pediatric diarrhea,diarrhea,Pediatric,Medium,child;diarrhea;dehydration
child breathless,nagadula ginhawa bata;child-breathless,pediatric dyspnea,dyspnea,Pediatric,Critical,child;breath;emergency
nagadula ginhawa bata,child breathless;nagadula-ginhawa-bata,pediatric dyspnea,dyspnea,Pediatric,Critical,child;breath;emergency
luya ang bata,nagakapoy bata;tired child;may luya ang bata;nagluya ang bata;luya-ang-bata;ginluya ang bata,pediatric fatigue,fatigue,Pediatric,Low,child;tired;weak
nagakapoy bata,tired child;luya ang bata;nagakapoy-bata,pediatric fatigue,fatigue,Pediatric,Low,child;tired;weak
tired child,nagakapoy bata;luya ang bata;tired-child,pediatric fatigue,fatigue,Pediatric,Low,child;tired;weak
fever child,hilanat bata;ginahilanat ang bata;fever-child,pediatric fever,pyrexia,Pediatric,Medium,child;fever;infection
ginahilanat ang bata,hilanat bata;fever child;ginahilanat-ang-bata,pediatric fever,pyrexia,Pediatric,Medium,child;fever;infection
hilanat bata,fever child;ginahilanat ang bata;may hilanat bata;ginhilanat bata;hilanat-bata;naghilanat bata,pediatric fever,pyrexia,Pediatric,Medium,child;fever;infection
high fever child,nagahilanat sing taas bata;high-fever-child,pediatric high fever,hyperpyrexia,Pediatric,High,child;fever;emergency
nagahilanat sing taas bata,high fever child;nagahilanat-sing-taas-bata,pediatric high fever,hyperpyrexia,Pediatric,High,child;fever;emergency
ginatulo sing dugo kag pediatric injury,ginatulo-sing-dugo-kag-pediatric-injury,pediatric injury bleeding,pediatric trauma,Pediatric,Critical,blood;child;trauma
itch child,nagakati bata;itch-child,pediatric pruritus,pruritus,Pediatric,Low,child;itch;skin
nagakati bata,itch child;nagakati-bata,pediatric pruritus,pruritus,Pediatric,Low,child;itch;skin
bugas bata,nagapula bata;rash child;may bugas bata;nagbugas bata;bugas-bata;ginbugas bata,pediatric rash,rash,Pediatric,Medium,child;rash;skin
nagapula bata,rash child;bugas bata;nagapula-bata,pediatric rash,rash,Pediatric,Medium,child;rash;skin
rash child,nagapula bata;bugas bata;rash-child,pediatric rash,rash,Pediatric,Medium,child;rash;skin
konvulsyon bata,nagakurog bata;seizure child;konvulsyon-bata;ginkonvulsyon bata;nagkonvulsyon bata;may konvulsyon bata,pediatric seizure,seizure,Pediatric,Critical,child;seizure;emergency
nagakurog bata,seizure child;konvulsyon bata;nagakurog-bata,pediatric seizure,seizure,Pediatric,Critical,child;seizure;emergency
seizure child,nagakurog bata;konvulsyon bata;seizure-child,pediatric seizure,seizure,Pediatric,Critical,child;seizure;emergency
nagahubag bata,swelling child;nagahubag-bata,pediatric swelling,edema,Pediatric,Medium,child;swelling;allergy
swelling child,nagahubag bata;swelling-child,pediatric swelling,edema,Pediatric,Medium,child;swelling;allergy
ginagsuka ang bata,nagsuka bata;vomiting child;ginagsuka-ang-bata,pediatric vomiting,vomiting,Pediatric,Medium,child;vomit;dehydration
nagsuka bata,vomiting child;ginagsuka ang bata;nagsuka-bata,pediatric vomiting,vomiting,Pediatric,Medium,child;vomit;dehydration
vomiting child,nagsuka bata;ginagsuka ang bata;vomiting-child,pediatric vomiting,vomiting,Pediatric,Medium,child;vomit;dehydration
asma,asthma;hika;ginahika;may hika;ginasma,asthma,asthma,Respiratory,High,asthma;wheezing;breathing
asthma,asma;hika;ginahika;may hika;ginasma,asthma,asthma,Respiratory,High,asthma;wheezing;breathing
ginahika,asma;asthma;hika;may hika;ginasma,asthma,asthma,Respiratory,High,asthma;wheezing;breathing
ginasma,asma;asthma;hika;ginahika;may hika,asthma,asthma,Respiratory,High,asthma;wheezing;breathing
hika,asma;asthma;ginahika;may hika;ginasma,asthma,asthma,Respiratory,High,asthma;wheezing;breathing
may hika,asma;asthma;hika;ginahika;ginasma;may-hika,asthma,asthma,Respiratory,High,asthma;wheezing;breathing
asthma breathless,nagadula ginhawa tungod hika;asthma-breathless,asthma dyspnea,asthma,Respiratory,High,asthma;breath;wheezing
nagadula ginhawa tungod hika,asthma breathless;nagadula-ginhawa-tungod-hika,asthma dyspnea,asthma,Respiratory,High,asthma;breath;wheezing
bahing,ginabahing;ginahingal;hingal;nagahingal,breathlessness,dyspnea,Respiratory,High,breath;gasping;exertion
ginabahing,bahing;ginahingal;hingal;nagahingal,breathlessness,dyspnea,Respiratory,High,breath;gasping;exertion
ginahingal,bahing;ginabahing;hingal;nagahingal,breathlessness,dyspnea,Respiratory,High,breath;gasping;exertion
hingal,bahing;ginabahing;ginahingal;nagahingal,breathlessness,dyspnea,Respiratory,High,breath;gasping;exertion
nagahingal,bahing;ginabahing;ginahingal;hingal,breathlessness,dyspnea,Respiratory,High,breath;gasping;exertion
bronchitis,bronkitis;ginabronkitis,bronchitis,bronchitis,Respiratory,Medium,cough;lung;bronchitis
bronkitis,bronchitis;ginabronkitis,bronchitis,bronchitis,Respiratory,Medium,cough;lung;bronchitis
ginabronkitis,bronkitis;bronchitis,bronchitis,bronchitis,Respiratory,Medium,cough;lung;bronchitis
ginatight dughan mag ginhawa,tight chest breathing;ginatight-dughan-mag-ginhawa,chest tightness,chest tightness,Respiratory,High,chest;asthma;breathing
tight chest breathing,ginatight dughan mag ginhawa;tight-chest-breathing,chest tightness,chest tightness,Respiratory,High,chest;asthma;breathing
common cold,sipon kag ubo;sipon ug ubo;common-cold,common cold,upper respiratory infection,Respiratory,Low,cold;viral;nose;cough
sipon kag ubo,sipon ug ubo;common cold;nagsipon kag ubo;may sipon kag ubo;sipon-kag-ubo;ginsipon kag ubo,common cold,upper respiratory infection,Respiratory,Low,cold;viral;nose;cough
sipon ug ubo,sipon kag ubo;common cold;nagsipon ug ubo;may sipon ug ubo;sipon-ug-ubo;ginsipon ug ubo,common cold,upper respiratory infection,Respiratory,Low,cold;viral;nose;cough
ginakuhul,ubo;ginaubo;ginauubo;nagaubo;nagauubo;ubuhan;ubuhon;kuhul,cough,cough,Respiratory,Low,cough;respiratory;lung;throat
ginaubo,ubo;ginauubo;nagaubo;nagauubo;ubuhan;ubuhon;kuhul;ginakuhul,cough,cough,Respiratory,Low,cough;respiratory;lung;throat
ginauubo,ubo;ginaubo;nagaubo;nagauubo;ubuhan;ubuhon;kuhul;ginakuhul,cough,cough,Respiratory,Low,cough;respiratory;lung;throat
kuhul,ubo;ginaubo;ginauubo;nagaubo;nagauubo;ubuhan;ubuhon;ginakuhul,cough,cough,Respiratory,Low,cough;respiratory;lung;throat
nagaubo,ubo;ginaubo;ginauubo;nagauubo;ubuhan;ubuhon;kuhul;ginakuhul,cough,cough,Respiratory,Low,cough;respiratory;lung;throat
nagauubo,ubo;ginaubo;ginauubo;nagaubo;ubuhan;ubuhon;kuhul;ginakuhul,cough,cough,Respiratory,Low,cough;respiratory;lung;throat
ubo,ginaubo;ginauubo;nagaubo;nagauubo;ubuhan;ubuhon;kuhul;ginakuhul;may ubo;ginubo;nagubo,cough,cough,Respiratory,Low,cough;respiratory;lung;throat
ubuhan,ubo;ginaubo;ginauubo;nagaubo;nagauubo;ubuhon;kuhul;ginakuhul,cough,cough,Respiratory,Low,cough;respiratory;lung;throat
ubuhon,ubo;ginaubo;ginauubo;nagaubo;nagauubo;ubuhan;kuhul;ginakuhul,cough,cough,Respiratory,Low,cough;respiratory;lung;throat
loss appetite cough,nagadula gana tungod ubo;loss-appetite-cough,cough with anorexia,anorexia,Respiratory,Low,cough;appetite
nagadula gana tungod ubo,loss appetite cough;nagadula-gana-tungod-ubo,cough with anorexia,anorexia,Respiratory,Low,cough;appetite
hoarse voice,nagadula boses;pamalat boses;hoarse-voice,hoarseness,dysphonia,Respiratory,Low,voice;throat;larynx
nagadula boses,hoarse voice;pamalat boses;nagadula-boses,hoarseness,dysphonia,Respiratory,Low,voice;throat;larynx
pamalat boses,nagadula boses;hoarse voice;pamalat-boses,hoarseness,dysphonia,Respiratory,Low,voice;throat;larynx
ginapulmonya,pulmonya;pneumonia,pneumonia,pneumonia,Respiratory,High,lung;infection;fever;cough
pneumonia,pulmonya;ginapulmonya,pneumonia,pneumonia,Respiratory,High,lung;infection;fever;cough
pulmonya,pneumonia;ginapulmonya,pneumonia,pneumonia,Respiratory,High,lung;infection;fever;cough
nagadula ginhawa tungod pulmonya,pneumonia breathless;nagadula-ginhawa-tungod-pulmonya,pneumonia dyspnea,pneumonia,Respiratory,High,pneumonia;breath;fever
pneumonia breathless,nagadula ginhawa tungod pulmonya;pneumonia-breathless,pneumonia dyspnea,pneumonia,Respiratory,High,pneumonia;breath;fever
barado ilong,sip-on;sipon;sip on;ginasip-on;ginasipon;nagasipon;ginabarado ilong;barado-ilong,runny nose,rhinitis,Respiratory,Low,nose;congestion;cold;rhinitis
ginabarado ilong,sip-on;sipon;sip on;ginasip-on;ginasipon;nagasipon;barado ilong;ginabarado-ilong,runny nose,rhinitis,Respiratory,Low,nose;congestion;cold;rhinitis
ginasip-on,sip-on;sipon;sip on;ginasipon;nagasipon;barado ilong;ginabarado ilong;ginasip on,runny nose,rhinitis,Respiratory,Low,nose;congestion;cold;rhinitis
ginasipon,sip-on;sipon;sip on;ginasip-on;nagasipon;barado ilong;ginabarado ilong,runny nose,rhinitis,Respiratory,Low,nose;congestion;cold;rhinitis
nagasipon,sip-on;sipon;sip on;ginasip-on;ginasipon;barado ilong;ginabarado ilong,runny nose,rhinitis,Respiratory,Low,nose;congestion;cold;rhinitis
sip on,sip-on;sipon;ginasip-on;ginasipon;nagasipon;barado ilong;ginabarado ilong;may sip on;ginsip on;nagsip on,runny nose,rhinitis,Respiratory,Low,nose;congestion;cold;rhinitis
sip-on,sipon;sip on;ginasip-on;ginasipon;nagasipon;barado ilong;ginabarado ilong;ginsip-on;nagsip-on;may sip-on,runny nose,rhinitis,Respiratory,Low,nose;congestion;cold;rhinitis
sipon,sip-on;sip on;ginasip-on;ginasipon;nagasipon;barado ilong;ginabarado ilong;may sipon;nagsipon;ginsipon,runny nose,rhinitis,Respiratory,Low,nose;congestion;cold;rhinitis
asma attack,asma sing grabe;severe asthma;asma-attack,severe asthma,asthma exacerbation,Respiratory,Critical,asthma;breath;emergency
asma sing grabe,asma attack;severe asthma;asma-sing-grabe,severe asthma,asthma exacerbation,Respiratory,Critical,asthma;breath;emergency
severe asthma,asma attack;asma sing grabe;severe-asthma,severe asthma,asthma exacerbation,Respiratory,Critical,asthma;breath;emergency
ginauubo sing malala,masakit tutunlan mag ubo;ubo sing malala;ginauubo-sing-malala,severe cough,severe cough,Respiratory,Medium,cough;severe;lung
masakit tutunlan mag ubo,ubo sing malala;ginauubo sing malala;may masakit tutunlan mag ubo;ginmasakit tutunlan mag ubo;nagmasakit tutunlan mag ubo;masakit-tutunlan-mag-ubo,severe cough,severe cough,Respiratory,Medium,cough;severe;lung
ubo sing malala,masakit tutunlan mag ubo;ginauubo sing malala;may ubo sing malala;ubo-sing-malala;nagubo sing malala;ginubo sing malala,severe cough,severe cough,Respiratory,Medium,cough;severe;lung
budlay ginhawa,ginakapos ginhawa;ginaginhawa budlay;ginabudlayan ginhawa;lisod magginhawa;ginakapos;ginagutok;nagbudlay ginhawa;may budlay ginhawa;ginbudlay ginhawa;budlay-ginhawa,shortness of breath,dyspnea,Respiratory,High,breathing;dyspnea;asthma;lung
ginabudlayan ginhawa,ginakapos ginhawa;ginaginhawa budlay;budlay ginhawa;lisod magginhawa;ginakapos;ginagutok;ginabudlayan-ginhawa,shortness of breath,dyspnea,Respiratory,High,breathing;dyspnea;asthma;lung
ginaginhawa budlay,ginakapos ginhawa;ginabudlayan ginhawa;budlay ginhawa;lisod magginhawa;ginakapos;ginagutok;ginaginhawa-budlay,shortness of breath,dyspnea,Respiratory,High,breathing;dyspnea;asthma;lung
ginagutok,ginakapos ginhawa;ginaginhawa budlay;ginabudlayan ginhawa;budlay ginhawa;lisod magginhawa;ginakapos,shortness of breath,dyspnea,Respiratory,High,breathing;dyspnea;asthma;lung
ginakapos,ginakapos ginhawa;ginaginhawa budlay;ginabudlayan ginhawa;budlay ginhawa;lisod magginhawa;ginagutok,shortness of breath,dyspnea,Respiratory,High,breathing;dyspnea;asthma;lung
