id,patient_complaint_hiligaynon,normalized_symptom,english_translation,medical_term,body_system,urgency_level,alternative_spellings,possible_conditions,confidence_keywords
9177,basin daw indi ko ka ginhawa tarong ako,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9178,basin daw indi ko ka ginhawa tarong gid,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9179,basin daw indi ko ka ginhawa tarong gid ako,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9180,basin daw indi ko ka ginhawa tarong man,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9181,basin daw indi ko ka ginhawa tarong na gid,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9182,basin daw may tightness dughan kag indi ko ginhawa,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9183,basin daw may tightness dughan kag indi ko ginhawa ako,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9184,basin daw may tightness dughan kag indi ko ginhawa gid ko,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9185,basin daw may tightness dughan kag indi ko ginhawa na gid,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9186,basin ga utok-utok akon dughan,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9187,basin ga utok-utok akon dughan ako,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9188,basin ga utok-utok akon dughan gid,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9189,basin ga utok-utok akon dughan gid ako,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9190,basin ga utok-utok akon dughan gid ko,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9191,basin ga utok-utok akon dughan ko,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9192,basin ga utok-utok akon dughan man,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9193,basin ga utok-utok akon dughan na gid,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9194,basin ginahingal ko halin sang aga subong,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9195,basin ginahingal ko halin sang gabii man,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9196,basin ginahingal ko kagapon ako,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9197,basin ginahingal ko sige man,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9198,basin ginahingal ko since yesterday gid ko,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9199,basin ginahingal ko since yesterday subong,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9200,basin ginakapos gid ko halin sang aga gid,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9201,basin ginakapos gid ko halin sang aga gid ako,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9202,basin ginakapos gid ko halin sang aga gid ko,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9203,basin ginakapos gid ko halin sang aga man,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9204,basin ginakapos ko ginhawa kagapon gid,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9205,basin ginakapos ko ginhawa since yesterday subong,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9206,basin ginakapos ko ginhawa subong,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9207,basin grabe hingal ko ako,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9208,basin grabe hingal ko gid ko,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9209,basin grabe hingal ko man,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9210,basin grabe hingal ko subong,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9211,basin gutok gid ko halin sang aga ako,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9212,basin gutok gid ko kagapon gid ko,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9213,basin gutok gid ko karon subong,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9214,basin gutok gid ko pirmi gid ako,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9215,basin gutok gid ko sige na gid,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9216,basin hard to breathe gid ko gid ko,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9217,basin hard to breathe gid ko ko,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9218,basin hard to breathe gid ko subong,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9219,basin indi ko makaginhawa maayo gid,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9220,basin indi ko makaginhawa maayo ko,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9221,basin indi ko makaginhawa maayo man,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9222,basin indi ko makaginhawa maayo subong,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9223,basin lisod magginhawa ko subong gid,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9224,basin may ubo ko kag budlay ginhawa,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9225,basin may ubo ko kag budlay ginhawa gid,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9226,basin may ubo ko kag budlay ginhawa gid ako,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9227,budlay daw malala akon ginhawa gid,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9228,budlay daw malala akon ginhawa gid ako,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9229,budlay daw malala akon ginhawa man,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9230,Budlay gid akon ginhawa,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9231,budlay gid akon ginhawa gid ako,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9232,budlay ginhawa gid,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9233,budlay ginhawa gid ko,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9234,budlay ginhawa ko,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9235,budlay ginhawa ko subong,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9236,budlay ginhawa ko subong ako,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9237,budlay ginhawa ko subong ko,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9238,budlay ginhawa ko subong na gid,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9239,budlay ginhawa ko subong subong,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9240,budlay ginhawa subong,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9241,budlay grabe akon ginhawa gid ko,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9242,budlay sing malala akon ginhawa ako,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9243,budlay sing malala akon ginhawa man,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9244,budlay sing malala akon ginhawa subong,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9245,complain ko kay budlay amo gid akon ginhawa subong,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9246,complain ko kay budlay daw malala akon ginhawa na gid,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9247,complain ko kay budlay ginhawa ko subong ako,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9248,complain ko kay budlay ginhawa ko subong gid ko,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9249,complain ko kay budlay ginhawa ko subong ko,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9250,complain ko kay budlay ginhawa ko subong man,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9251,complain ko kay budlay ginhawa ko subong subong,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9252,complain ko kay budlay sobra akon ginhawa,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9253,complain ko kay daw ginapigos ko ginhawa gid ako,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9254,complain ko kay daw ginapigos ko ginhawa na gid,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9255,complain ko kay daw indi ko ka ginhawa tarong,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9256,complain ko kay daw indi ko ka ginhawa tarong ko,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9257,complain ko kay daw indi ko ka ginhawa tarong subong,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9258,complain ko kay daw may tightness dughan kag indi ko ginhawa,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9259,complain ko kay daw may tightness dughan kag indi ko ginhawa gid,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9260,complain ko kay daw may tightness dughan kag indi ko ginhawa gid ako,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9261,complain ko kay daw may tightness dughan kag indi ko ginhawa gid ko,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9262,complain ko kay daw may tightness dughan kag indi ko ginhawa na gid,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9263,complain ko kay daw may tightness dughan kag indi ko ginhawa subong,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9264,complain ko kay ga utok-utok akon dughan gid,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9265,complain ko kay ga utok-utok akon dughan gid ako,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9266,complain ko kay ga utok-utok akon dughan na gid,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9267,complain ko kay ga utok-utok akon dughan subong,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9268,complain ko kay ginahingal ko halin sang aga,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9269,complain ko kay ginahingal ko karon man,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9270,complain ko kay ginahingal ko sige man,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9271,complain ko kay ginahingal ko since yesterday ko,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9272,complain ko kay ginahingal ko subong,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9273,complain ko kay ginakapos gid ko halin sang aga gid,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9274,complain ko kay ginakapos gid ko halin sang aga gid ko,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9275,complain ko kay ginakapos gid ko halin sang aga ko,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9276,complain ko kay ginakapos gid ko halin sang aga na gid,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9277,complain ko kay ginakapos gid ko halin sang aga subong,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
9278,complain ko kay ginakapos ko ginhawa halin sang aga,difficulty breathing,shortness of breath,dyspnea,respiratory,High,ginakapos ginhawa;gutok;budlay ginhawa;ginakapos;lisod magginhawa;hingal,asthma;COPD;pneumonia;anxiety;heart failure,breathing;lungs;dyspnea;respiratory
